State of Geography A,County Name of Geography A,State of Geography B,County Name of Geography B,B-A_Estimate,MOE,A-B_Estimate,MOE,Net_Estimate,MOE,Gross_Estimate,MOE
Georgia,Henry County,Georgia,Bleckley County,0,,30,39,-30,39,30,39
Georgia,Henry County,Georgia,Bulloch County,54,89,124,80,-70,121,178,119
Georgia,Henry County,Georgia,Butts County,202,204,565,225,-363,256,767,345
Georgia,Henry County,Georgia,Carroll County,54,67,314,210,-260,216,368,224
Georgia,Henry County,Georgia,Catoosa County,0,,50,79,-50,79,50,79
Georgia,Henry County,Georgia,Charlton County,0,,3,6,-3,6,3,6
Georgia,Henry County,Georgia,Chatham County,41,44,150,160,-109,167,191,165
Georgia,Henry County,Georgia,Chattooga County,0,,3,9,-3,9,3,9
Georgia,Henry County,Georgia,Cherokee County,0,,177,208,-177,208,177,208
Georgia,Henry County,Georgia,Clarke County,6,11,313,110,-307,112,319,110
Georgia,Henry County,Georgia,Clayton County,"3,219","1,016","1,639",502,"1,580","1,201","4,858","1,061"
Georgia,Henry County,Georgia,Cobb County,118,90,"1,055",301,-937,317,"1,173",311
Georgia,Henry County,Georgia,Colquitt County,4,7,0,,4,7,4,7
Georgia,Henry County,Georgia,Columbia County,0,,26,43,-26,43,26,43
Georgia,Henry County,Georgia,Coweta County,89,86,266,185,-177,190,355,217
Georgia,Henry County,Georgia,Crawford County,0,,5,13,-5,13,5,13
Georgia,Henry County,Georgia,Decatur County,0,,19,21,-19,21,19,21
Georgia,Henry County,Georgia,DeKalb County,"1,056",459,771,392,285,648,"1,827",558
Georgia,Henry County,Georgia,Dodge County,0,,18,18,-18,18,18,18
Georgia,Henry County,Georgia,Dooly County,32,47,3,6,29,47,35,48
Georgia,Henry County,Georgia,Dougherty County,20,38,75,52,-55,61,95,67
Georgia,Henry County,Georgia,Douglas County,52,54,90,103,-38,116,142,116
Georgia,Henry County,Georgia,Emanuel County,0,,17,22,-17,22,17,22
Georgia,Henry County,Georgia,Evans County,0,,7,13,-7,13,7,13
Georgia,Henry County,Georgia,Fannin County,0,,10,17,-10,17,10,17
Georgia,Henry County,Georgia,Fayette County,342,199,358,242,-16,345,700,279
Georgia,Henry County,Georgia,Forsyth County,0,,72,58,-72,58,72,58
Georgia,Henry County,Georgia,Fulton County,"1,947",994,809,274,"1,138","1,027","2,756","1,035"
Georgia,Henry County,Georgia,Glynn County,0,,21,29,-21,29,21,29
Georgia,Henry County,Georgia,Gwinnett County,870,386,655,332,215,473,"1,525",543
Georgia,Henry County,Georgia,Habersham County,13,24,42,35,-29,41,55,43
Georgia,Henry County,Georgia,Hall County,73,96,0,,73,96,73,96
Georgia,Henry County,Georgia,Hancock County,0,,21,22,-21,22,21,22
Georgia,Henry County,Georgia,Haralson County,64,80,0,,64,80,64,80
Georgia,Henry County,Georgia,Harris County,97,103,14,19,83,105,111,105
Georgia,Henry County,Georgia,Heard County,16,27,3,6,13,24,19,30
Georgia,Henry County,Georgia,Houston County,35,37,350,465,-315,464,385,470
Georgia,Henry County,Georgia,Jackson County,0,,168,138,-168,138,168,138
Georgia,Henry County,Georgia,Jasper County,24,35,11,11,13,36,35,37
Georgia,Henry County,Georgia,Jeff Davis County,0,,40,68,-40,68,40,68
Georgia,Henry County,Georgia,Jenkins County,0,,8,16,-8,16,8,16
Georgia,Henry County,Georgia,Johnson County,0,,17,30,-17,30,17,30
Georgia,Henry County,Georgia,Jones County,195,181,77,99,118,208,272,205
Georgia,Henry County,Georgia,Lamar County,41,71,25,33,16,79,66,77
Georgia,Henry County,Georgia,Liberty County,0,,22,32,-22,32,22,32
Georgia,Henry County,Georgia,Lowndes County,140,185,24,22,116,184,164,188
Georgia,Henry County,Georgia,Lumpkin County,0,,56,68,-56,68,56,68
Georgia,Henry County,Georgia,McDuffie County,0,,106,125,-106,125,106,125
Georgia,Henry County,Georgia,McIntosh County,0,,9,16,-9,16,9,16
Georgia,Henry County,Georgia,Mitchell County,0,,18,19,-18,19,18,19
Georgia,Henry County,Georgia,Monroe County,133,118,110,161,23,216,243,181
Georgia,Henry County,Georgia,Montgomery County,0,,16,21,-16,21,16,21
Georgia,Henry County,Georgia,Morgan County,0,,15,51,-15,51,15,51
Georgia,Henry County,Georgia,Murray County,0,,9,13,-9,13,9,13
Georgia,Henry County,Georgia,Muscogee County,49,55,59,52,-10,93,108,54
Georgia,Henry County,Georgia,Newton County,691,515,291,220,400,530,982,589
Georgia,Henry County,Georgia,Oconee County,0,,33,45,-33,45,33,45
Georgia,Henry County,Georgia,Paulding County,0,,33,34,-33,34,33,34
Georgia,Henry County,Georgia,Peach County,26,54,0,,26,54,26,54
Georgia,Henry County,Georgia,Pickens County,0,,5,6,-5,6,5,6
Georgia,Henry County,Georgia,Pike County,10,20,192,134,-182,138,202,134
Georgia,Henry County,Georgia,Pulaski County,0,,7,12,-7,12,7,12
Georgia,Henry County,Georgia,Richmond County,0,,38,44,-38,44,38,44
Georgia,Henry County,Georgia,Rockdale County,790,458,79,51,711,464,869,457
Georgia,Henry County,Georgia,Spalding County,589,382,"1,159",619,-570,699,"1,748",753
Georgia,Henry County,Georgia,Stephens County,0,,7,11,-7,11,7,11
Georgia,Henry County,Georgia,Stewart County,19,36,0,,19,36,19,36
Georgia,Henry County,Georgia,Sumter County,0,,6,12,-6,12,6,12
Georgia,Henry County,Georgia,Tattnall County,0,,19,21,-19,21,19,21
Georgia,Henry County,Georgia,Taylor County,0,,1,4,-1,4,1,4
Georgia,Henry County,Georgia,Terrell County,0,,9,16,-9,16,9,16
Georgia,Henry County,Georgia,Tift County,0,,16,26,-16,26,16,26
Georgia,Henry County,Georgia,Toombs County,0,,1,4,-1,4,1,4
Georgia,Henry County,Georgia,Troup County,0,,27,29,-27,29,27,29
Georgia,Henry County,Georgia,Upson County,17,33,0,,17,33,17,33
Georgia,Henry County,Georgia,Walton County,12,20,100,125,-88,127,112,125
Georgia,Henry County,Georgia,Ware County,0,,7,13,-7,13,7,13
Georgia,Henry County,Georgia,Washington County,0,,17,21,-17,21,17,21
Georgia,Henry County,Georgia,White County,25,38,0,,25,38,25,38
Georgia,Henry County,Hawaii,Maui County,77,124,0,,77,124,77,124
Georgia,Henry County,Idaho,Ada County,38,52,0,,38,52,38,52
Georgia,Henry County,Illinois,Cook County,215,344,29,34,186,352,244,338
Georgia,Henry County,Illinois,Crawford County,0,,3,6,-3,6,3,6
Georgia,Henry County,Illinois,Lake County,86,117,0,,86,117,86,117
Georgia,Henry County,Illinois,McHenry County,12,19,0,,12,19,12,19
Georgia,Henry County,Illinois,Madison County,0,,49,69,-49,69,49,69
Georgia,Henry County,Illinois,Will County,24,45,0,,24,45,24,45
Georgia,Henry County,Illinois,Winnebago County,118,175,0,,118,175,118,175
Georgia,Henry County,Indiana,Marion County,0,,145,216,-145,216,145,216
Georgia,Henry County,Indiana,St. Joseph County,44,70,0,,44,70,44,70
Georgia,Henry County,Indiana,Washington County,0,,28,46,-28,46,28,46
Georgia,Henry County,Kansas,McPherson County,0,,9,13,-9,13,9,13
Georgia,Henry County,Kansas,Pratt County,0,,4,8,-4,8,4,8
Georgia,Henry County,Kansas,Sedgwick County,0,,25,31,-25,31,25,31
Georgia,Henry County,Kentucky,Christian County,0,,25,27,-25,27,25,27
Georgia,Henry County,Kentucky,Clinton County,0,,14,22,-14,22,14,22
Georgia,Henry County,Kentucky,Union County,0,,6,11,-6,11,6,11
Georgia,Henry County,Kentucky,Woodford County,0,,7,14,-7,14,7,14
Georgia,Henry County,Louisiana,East Baton Rouge Parish,0,,9,17,-9,17,9,17
Georgia,Henry County,Louisiana,Orleans Parish,26,44,0,,26,44,26,44
Georgia,Henry County,Maryland,Anne Arundel County,45,80,0,,45,80,45,80
Georgia,Henry County,Maryland,Howard County,0,,2,4,-2,4,2,4
Georgia,Henry County,Maryland,Queen Anne's County,0,,3,5,-3,5,3,5
Georgia,Henry County,Maryland,Baltimore City,401,290,0,,401,290,401,290
Georgia,Henry County,Massachusetts,Middlesex County,132,207,0,,132,207,132,207
Georgia,Henry County,Massachusetts,Norfolk County,3,6,107,152,-104,151,110,152
Georgia,Henry County,Massachusetts,Suffolk County,25,38,17,40,8,55,42,55
Georgia,Henry County,Michigan,Macomb County,0,,45,61,-45,61,45,61
Georgia,Henry County,Michigan,Oakland County,19,30,76,124,-57,128,95,127
Georgia,Henry County,Michigan,Washtenaw County,0,,7,15,-7,15,7,15
Georgia,Henry County,Michigan,Wayne County,41,45,0,,41,45,41,45
Georgia,Henry County,Minnesota,Ramsey County,0,,18,28,-18,28,18,28
Georgia,Henry County,Mississippi,Hinds County,371,357,11,22,360,358,382,358
Georgia,Henry County,Mississippi,Oktibbeha County,35,56,0,,35,56,35,56
Georgia,Henry County,Mississippi,Stone County,27,43,0,,27,43,27,43
Georgia,Henry County,Missouri,Cape Girardeau County,0,,47,70,-47,70,47,70
Georgia,Henry County,Missouri,Clay County,0,,54,76,-54,76,54,76
Georgia,Henry County,Missouri,Jackson County,0,,32,44,-32,44,32,44
Georgia,Henry County,Missouri,Pulaski County,0,,41,91,-41,91,41,91
Georgia,Henry County,Missouri,St. Louis City,21,32,0,,21,32,21,32
Georgia,Henry County,Nevada,Clark County,0,,21,34,-21,34,21,34
Georgia,Henry County,New Jersey,Camden County,74,125,6,10,68,126,80,124
Georgia,Henry County,New Jersey,Essex County,83,82,0,,83,82,83,82
Georgia,Henry County,New Jersey,Hudson County,9,16,0,,9,16,9,16
Georgia,Henry County,New Jersey,Middlesex County,0,,31,56,-31,56,31,56
Georgia,Henry County,New York,Bronx County,0,,10,19,-10,19,10,19
Georgia,Henry County,New York,Erie County,0,,9,14,-9,14,9,14
Georgia,Henry County,New York,Kings County,176,296,54,77,122,309,230,303
Georgia,Henry County,New York,Nassau County,60,140,0,,60,140,60,140
Georgia,Henry County,New York,Ontario County,127,95,0,,127,95,127,95
Georgia,Henry County,New York,Queens County,3,5,24,27,-21,27,27,27
Georgia,Henry County,New York,Richmond County,101,160,0,,101,160,101,160
Georgia,Henry County,New York,Suffolk County,98,76,0,,98,76,98,76
Georgia,Henry County,North Carolina,Buncombe County,0,,1,4,-1,4,1,4
Georgia,Henry County,North Carolina,Cherokee County,0,,74,113,-74,113,74,113
Georgia,Henry County,North Carolina,Craven County,75,120,0,,75,120,75,120
Georgia,Henry County,North Carolina,Cumberland County,67,105,0,,67,105,67,105
Georgia,Henry County,North Carolina,Currituck County,129,215,0,,129,215,129,215
Georgia,Henry County,North Carolina,Durham County,0,,10,12,-10,12,10,12
Georgia,Henry County,North Carolina,Guilford County,1,3,23,37,-22,38,24,37
Georgia,Henry County,North Carolina,Mecklenburg County,140,154,13,21,127,154,153,156
Georgia,Henry County,North Carolina,Onslow County,0,,23,27,-23,27,23,27
Georgia,Henry County,North Carolina,Pitt County,69,110,0,,69,110,69,110
Georgia,Henry County,North Carolina,Rowan County,0,,6,13,-6,13,6,13
Georgia,Henry County,Ohio,Cuyahoga County,16,26,14,22,2,34,30,35
Georgia,Henry County,Ohio,Erie County,30,41,0,,30,41,30,41
Georgia,Henry County,Ohio,Hamilton County,7,13,0,,7,13,7,13
Georgia,Henry County,Ohio,Lorain County,8,15,0,,8,15,8,15
Georgia,Henry County,Ohio,Montgomery County,7,13,46,74,-39,75,53,75
Georgia,Henry County,Ohio,Summit County,0,,14,23,-14,23,14,23
Georgia,Henry County,Oklahoma,Comanche County,0,,15,20,-15,20,15,20
Georgia,Henry County,Oklahoma,Garfield County,0,,9,19,-9,19,9,19
Georgia,Henry County,Oklahoma,Jackson County,0,,4,10,-4,10,4,10
Georgia,Henry County,Pennsylvania,Cumberland County,0,,18,29,-18,29,18,29
Georgia,Henry County,Pennsylvania,Northampton County,0,,17,21,-17,21,17,21
Georgia,Henry County,Pennsylvania,York County,17,55,0,,17,55,17,55
Georgia,Henry County,South Carolina,Anderson County,0,,30,48,-30,48,30,48
Georgia,Henry County,South Carolina,Berkeley County,26,45,0,,26,45,26,45
Georgia,Henry County,South Carolina,Clarendon County,10,18,0,,10,18,10,18
Georgia,Henry County,South Carolina,Greenville County,144,175,37,53,107,184,181,182
Georgia,Henry County,South Carolina,Horry County,0,,97,104,-97,104,97,104
Georgia,Henry County,South Carolina,Lexington County,8,15,11,17,-3,23,19,22
Georgia,Henry County,South Carolina,Orangeburg County,0,,11,20,-11,20,11,20
Georgia,Henry County,South Carolina,Richland County,7,15,62,89,-55,91,69,90
Georgia,Henry County,South Carolina,Spartanburg County,5,9,0,,5,9,5,9
Georgia,Henry County,South Carolina,Sumter County,0,,24,39,-24,39,24,39
Georgia,Henry County,South Dakota,Lincoln County,13,23,0,,13,23,13,23
Georgia,Henry County,Tennessee,Anderson County,0,,3,7,-3,7,3,7
Georgia,Henry County,Tennessee,Bradley County,0,,4,10,-4,10,4,10
Georgia,Henry County,Tennessee,Davidson County,0,,35,35,-35,35,35,35
Georgia,Henry County,Tennessee,Grainger County,0,,1,3,-1,3,1,3
Georgia,Henry County,Tennessee,Hamilton County,91,105,85,50,6,116,176,117
Georgia,Henry County,Tennessee,Knox County,0,,21,34,-21,34,21,34
Georgia,Henry County,Tennessee,Loudon County,12,17,0,,12,17,12,17
Georgia,Henry County,Tennessee,Sevier County,0,,38,42,-38,42,38,42
Georgia,Henry County,Tennessee,Shelby County,7,12,0,,7,12,7,12
Georgia,Henry County,Tennessee,Washington County,0,,41,54,-41,54,41,54
Georgia,Henry County,Texas,Brazos County,58,86,0,,58,86,58,86
Georgia,Henry County,Texas,Denton County,0,,23,36,-23,36,23,36
Georgia,Henry County,Texas,El Paso County,40,61,0,,40,61,40,61
Georgia,Henry County,Texas,Falls County,0,,21,41,-21,41,21,41
Georgia,Henry County,Texas,Harris County,51,94,0,,51,94,51,94
Georgia,Henry County,Texas,Tarrant County,0,,8,13,-8,13,8,13
Georgia,Henry County,Virginia,Cumberland County,0,,29,40,-29,40,29,40
Georgia,Henry County,Virginia,Alexandria City,0,,7,9,-7,9,7,9
Georgia,Henry County,Virginia,Norfolk City,3,5,0,,3,5,3,5
Georgia,Henry County,Virginia,Virginia Beach City,60,87,0,,60,87,60,87
Georgia,Henry County,Washington,Pierce County,0,,21,31,-21,31,21,31
Georgia,Henry County,Washington,Spokane County,0,,5,8,-5,8,5,8
Georgia,Henry County,West Virginia,Cabell County,32,52,0,,32,52,32,52
Georgia,Henry County,West Virginia,Kanawha County,1,2,0,,1,2,1,2
Georgia,Henry County,West Virginia,Marion County,0,,83,118,-83,118,83,118
Georgia,Henry County,West Virginia,Wood County,0,,6,12,-6,12,6,12
Georgia,Henry County,Wisconsin,Brown County,0,,18,22,-18,22,18,22
Georgia,Henry County,Wisconsin,Juneau County,0,,6,8,-6,8,6,8
Georgia,Henry County,Wisconsin,Milwaukee County,1,2,7,12,-6,13,8,12
Georgia,Henry County,Wisconsin,Sauk County,11,20,0,,11,20,11,20
Georgia,Henry County,Wyoming,Laramie County,285,402,0,,285,402,285,402
Georgia,Henry County,Puerto Rico,Aguadilla Municipio,0,,15,23,-15,23,15,23
Georgia,Henry County,Puerto Rico,Guayama Municipio,0,,10,16,-10,16,10,16
Georgia,Henry County,Puerto Rico,Las Piedras Municipio,156,255,0,,156,255,156,255
Georgia,Henry County,Puerto Rico,San Juan Municipio,27,47,0,,27,47,27,47
Georgia,Henry County,Africa,-,222,229,,,,,,
Georgia,Henry County,Asia,-,96,111,,,,,,
Georgia,Henry County,Central America,-,20,27,,,,,,
Georgia,Henry County,Caribbean,-,56,98,,,,,,
Georgia,Henry County,Europe,-,30,29,,,,,,
Georgia,Henry County,U.S. Island Areas,-,22,37,,,,,,
Georgia,Henry County,Northern America,-,11,21,,,,,,
Georgia,Henry County,South America,-,11,18,,,,,,
Georgia,Houston County,Alabama,Autauga County,5,8,0,,5,8,5,8
Georgia,Houston County,Alabama,Elmore County,0,,6,9,-6,9,6,9
Georgia,Houston County,Alabama,Jefferson County,41,67,0,,41,67,41,67
Georgia,Houston County,Alabama,Madison County,97,146,76,116,21,196,173,176
Georgia,Houston County,Alabama,Marshall County,0,,35,46,-35,46,35,46
Georgia,Houston County,Alabama,Mobile County,0,,1,3,-1,3,1,3
Georgia,Houston County,Alabama,Montgomery County,57,63,0,,57,63,57,63
Georgia,Houston County,Alabama,Russell County,111,173,0,,111,173,111,173
Georgia,Houston County,Alabama,Tuscaloosa County,0,,29,36,-29,36,29,36
Georgia,Houston County,Alaska,Fairbanks North Star Borough,140,156,0,,140,156,140,156
Georgia,Houston County,Arizona,Maricopa County,122,150,0,,122,150,122,150
Georgia,Houston County,Arizona,Pima County,0,,30,50,-30,50,30,50
Georgia,Houston County,California,Alameda County,0,,26,56,-26,56,26,56
Georgia,Houston County,California,Los Angeles County,223,185,26,37,197,197,249,180
Georgia,Houston County,California,Orange County,42,159,0,,42,159,42,159
Georgia,Houston County,California,Riverside County,0,,9,20,-9,20,9,20
Georgia,Houston County,California,San Diego County,3,6,25,40,-22,40,28,40
Georgia,Houston County,California,Santa Clara County,3,6,0,,3,6,3,6
Georgia,Houston County,California,Sonoma County,0,,33,40,-33,40,33,40
Georgia,Houston County,California,Ventura County,26,43,0,,26,43,26,43
Georgia,Houston County,Colorado,Denver County,0,,12,31,-12,31,12,31
Georgia,Houston County,Colorado,El Paso County,0,,16,24,-16,24,16,24
Georgia,Houston County,Colorado,Larimer County,0,,7,12,-7,12,7,12
Georgia,Houston County,Connecticut,Litchfield County,0,,36,41,-36,41,36,41
Georgia,Houston County,Connecticut,New Haven County,0,,91,135,-91,135,91,135
Georgia,Houston County,Delaware,Sussex County,6,15,0,,6,15,6,15
Georgia,Houston County,District of Columbia,District of Columbia,112,188,7,17,105,188,119,189
Georgia,Houston County,Florida,Alachua County,23,37,2,4,21,37,25,38
Georgia,Houston County,Florida,Bay County,79,119,24,36,55,124,103,124
Georgia,Houston County,Florida,Brevard County,20,32,153,124,-133,125,173,130
Georgia,Houston County,Florida,Charlotte County,111,120,0,,111,120,111,120
Georgia,Houston County,Florida,Clay County,0,,126,134,-126,134,126,134
Georgia,Houston County,Florida,Duval County,28,42,0,,28,42,28,42
Georgia,Houston County,Florida,Escambia County,35,55,41,74,-6,89,76,95
Georgia,Houston County,Florida,Hillsborough County,156,236,93,164,63,298,249,277
Georgia,Houston County,Florida,Lake County,62,66,0,,62,66,62,66
Georgia,Houston County,Florida,Leon County,38,60,0,,38,60,38,60
Georgia,Houston County,Florida,Manatee County,0,,88,92,-88,92,88,92
Georgia,Houston County,Florida,Marion County,8,16,0,,8,16,8,16
Georgia,Houston County,Florida,Miami-Dade County,51,66,0,,51,66,51,66
Georgia,Houston County,Florida,Okaloosa County,0,,56,83,-56,83,56,83
Georgia,Houston County,Florida,Orange County,128,157,25,39,103,157,153,166
Georgia,Houston County,Florida,Osceola County,38,53,45,75,-7,94,83,89
Georgia,Houston County,Florida,Pinellas County,0,,60,73,-60,73,60,73
Georgia,Houston County,Florida,Santa Rosa County,116,201,0,,116,201,116,201
Georgia,Houston County,Florida,Sumter County,0,,58,58,-58,58,58,58
Georgia,Houston County,Georgia,Appling County,8,17,0,,8,17,8,17
Georgia,Houston County,Georgia,Bacon County,0,,15,19,-15,19,15,19
Georgia,Houston County,Georgia,Baldwin County,47,73,118,120,-71,138,165,142
Georgia,Houston County,Georgia,Barrow County,1,4,0,,1,4,1,4
Georgia,Houston County,Georgia,Bartow County,17,30,0,,17,30,17,30
Georgia,Houston County,Georgia,Bibb County,"1,161",442,"1,196",334,-35,527,"2,357",580
Georgia,Houston County,Georgia,Bleckley County,129,145,50,43,79,155,179,147
Georgia,Houston County,Georgia,Bulloch County,0,,463,221,-463,221,463,221
Georgia,Houston County,Georgia,Butts County,0,,50,54,-50,54,50,54
Georgia,Houston County,Georgia,Camden County,0,,25,42,-25,42,25,42
Georgia,Houston County,Georgia,Carroll County,0,,14,20,-14,20,14,20
Georgia,Houston County,Georgia,Chatham County,0,,239,136,-239,136,239,136
Georgia,Houston County,Georgia,Chattahoochee County,0,,19,30,-19,30,19,30
Georgia,Houston County,Georgia,Cherokee County,103,132,18,23,85,134,121,134
Georgia,Houston County,Georgia,Clarke County,0,,312,159,-312,159,312,159
Georgia,Houston County,Georgia,Clayton County,301,251,18,31,283,253,319,254
Georgia,Houston County,Georgia,Cobb County,156,141,505,480,-349,479,661,521
Georgia,Houston County,Georgia,Coffee County,51,83,43,58,8,104,94,98
Georgia,Houston County,Georgia,Cook County,0,,3,9,-3,9,3,9
Georgia,Houston County,Georgia,Crawford County,420,360,311,227,109,402,731,448
Georgia,Houston County,Georgia,Crisp County,11,19,65,80,-54,80,76,85
Georgia,Houston County,Georgia,Dade County,2,6,2,4,0,7,4,7
Georgia,Houston County,Georgia,Decatur County,0,,8,12,-8,12,8,12
Georgia,Houston County,Georgia,DeKalb County,128,212,226,181,-98,281,354,276
Georgia,Houston County,Georgia,Dodge County,28,52,160,139,-132,146,188,150
Georgia,Houston County,Georgia,Dooly County,0,,54,54,-54,54,54,54
Georgia,Houston County,Georgia,Dougherty County,24,27,49,69,-25,72,73,76
Georgia,Houston County,Georgia,Douglas County,0,,1,2,-1,2,1,2
Georgia,Houston County,Georgia,Early County,0,,3,7,-3,7,3,7
Georgia,Houston County,Georgia,Fannin County,0,,50,56,-50,56,50,56
Georgia,Houston County,Georgia,Fayette County,0,,4,11,-4,11,4,11
Georgia,Houston County,Georgia,Floyd County,0,,8,15,-8,15,8,15
Georgia,Houston County,Georgia,Forsyth County,0,,5,11,-5,11,5,11
Georgia,Houston County,Georgia,Fulton County,146,115,223,125,-77,176,369,163
Georgia,Houston County,Georgia,Glynn County,10,17,119,158,-109,166,129,151
Georgia,Houston County,Georgia,Gordon County,0,,4,8,-4,8,4,8
Georgia,Houston County,Georgia,Greene County,27,31,59,87,-32,93,86,92
Georgia,Houston County,Georgia,Gwinnett County,10,15,64,71,-54,68,74,78
Georgia,Houston County,Georgia,Hall County,244,273,14,18,230,280,258,267
Georgia,Houston County,Georgia,Haralson County,0,,9,20,-9,20,9,20
Georgia,Houston County,Georgia,Harris County,175,169,0,,175,169,175,169
Georgia,Houston County,Georgia,Hart County,27,48,0,,27,48,27,48
Georgia,Houston County,Georgia,Henry County,350,465,35,37,315,464,385,470
Georgia,Houston County,Georgia,Irwin County,8,14,7,14,1,20,15,20
Georgia,Houston County,Georgia,Jackson County,0,,23,40,-23,40,23,40
Georgia,Houston County,Georgia,Jasper County,81,122,6,10,75,122,87,122
Georgia,Houston County,Georgia,Jones County,21,32,210,153,-189,160,231,151
Georgia,Houston County,Georgia,Lamar County,0,,62,85,-62,85,62,85
Georgia,Houston County,Georgia,Lanier County,0,,7,12,-7,12,7,12
Georgia,Houston County,Georgia,Laurens County,397,254,81,68,316,257,478,269
Georgia,Houston County,Georgia,Liberty County,0,,85,57,-85,57,85,57
Georgia,Houston County,Georgia,Lowndes County,55,60,12,15,43,62,67,61
Georgia,Houston County,Georgia,Macon County,138,118,18,30,120,121,156,121
Georgia,Houston County,Georgia,Madison County,0,,59,72,-59,72,59,72
Georgia,Houston County,Georgia,Mitchell County,0,,40,51,-40,51,40,51
Georgia,Houston County,Georgia,Monroe County,98,165,44,45,54,174,142,168
Georgia,Houston County,Georgia,Montgomery County,0,,16,23,-16,23,16,23
Georgia,Houston County,Georgia,Morgan County,0,,4,8,-4,8,4,8
Georgia,Houston County,Georgia,Murray County,0,,5,10,-5,10,5,10
Georgia,Houston County,Georgia,Muscogee County,74,100,220,126,-146,174,294,146
Georgia,Houston County,Georgia,Oconee County,0,,16,25,-16,25,16,25
Georgia,Houston County,Georgia,Paulding County,56,69,0,,56,69,56,69
Georgia,Houston County,Georgia,Peach County,672,374,275,200,397,428,947,420
Georgia,Houston County,Georgia,Pulaski County,16,24,0,,16,24,16,24
Georgia,Houston County,Georgia,Richmond County,54,67,27,28,27,70,81,74
Georgia,Houston County,Georgia,Rockdale County,0,,101,124,-101,124,101,124
Georgia,Houston County,Georgia,Schley County,8,15,0,,8,15,8,15
Georgia,Houston County,Georgia,Spalding County,86,118,20,27,66,121,106,122
Georgia,Houston County,Georgia,Stephens County,0,,10,21,-10,21,10,21
Georgia,Houston County,Georgia,Sumter County,0,,11,17,-11,17,11,17
Georgia,Houston County,Georgia,Tattnall County,0,,28,23,-28,23,28,23
Georgia,Houston County,Georgia,Taylor County,0,,3,5,-3,5,3,5
Georgia,Houston County,Georgia,Thomas County,89,94,0,,89,94,89,94
Georgia,Houston County,Georgia,Tift County,0,,25,41,-25,41,25,41
Georgia,Houston County,Georgia,Toombs County,0,,18,25,-18,25,18,25
Georgia,Houston County,Georgia,Towns County,0,,11,19,-11,19,11,19
Georgia,Houston County,Georgia,Treutlen County,0,,34,61,-34,61,34,61
Georgia,Houston County,Georgia,Troup County,52,84,6,10,46,85,58,85
Georgia,Houston County,Georgia,Twiggs County,0,,8,14,-8,14,8,14
Georgia,Houston County,Georgia,Union County,2,4,0,,2,4,2,4
Georgia,Houston County,Georgia,Upson County,50,56,25,31,25,62,75,66
Georgia,Houston County,Georgia,Walker County,0,,8,16,-8,16,8,16
Georgia,Houston County,Georgia,Walton County,0,,9,16,-9,16,9,16
Georgia,Houston County,Georgia,Warren County,33,44,4,8,29,44,37,45
Georgia,Houston County,Georgia,Washington County,9,18,0,,9,18,9,18
Georgia,Houston County,Georgia,Wheeler County,8,15,0,,8,15,8,15
Georgia,Houston County,Georgia,Whitfield County,0,,1,2,-1,2,1,2
Georgia,Houston County,Georgia,Wilcox County,24,45,0,,24,45,24,45
Georgia,Houston County,Georgia,Wilkinson County,46,87,6,11,40,90,52,86
Georgia,Houston County,Hawaii,Hawaii County,0,,16,20,-16,20,16,20
Georgia,Houston County,Hawaii,Honolulu County,13,18,67,76,-54,86,80,70
Georgia,Houston County,Idaho,Kootenai County,0,,36,51,-36,51,36,51
Georgia,Houston County,Illinois,Champaign County,0,,8,13,-8,13,8,13
Georgia,Houston County,Illinois,Cook County,23,37,72,84,-49,91,95,93
Georgia,Houston County,Illinois,DuPage County,0,,59,72,-59,72,59,72
Georgia,Houston County,Indiana,Grant County,0,,6,11,-6,11,6,11
Georgia,Houston County,Indiana,St. Joseph County,0,,75,123,-75,123,75,123
Georgia,Houston County,Indiana,Vermillion County,0,,11,17,-11,17,11,17
Georgia,Houston County,Iowa,Jones County,66,106,0,,66,106,66,106
Georgia,Houston County,Iowa,Linn County,0,,47,73,-47,73,47,73
Georgia,Houston County,Kansas,Johnson County,21,33,0,,21,33,21,33
Georgia,Houston County,Kansas,Shawnee County,0,,33,48,-33,48,33,48
Georgia,Houston County,Kentucky,Jefferson County,0,,16,30,-16,30,16,30
Georgia,Houston County,Kentucky,Meade County,0,,6,10,-6,10,6,10
Georgia,Houston County,Kentucky,Simpson County,6,10,0,,6,10,6,10
Georgia,Houston County,Louisiana,Caddo Parish,0,,8,18,-8,18,8,18
Georgia,Houston County,Louisiana,East Baton Rouge Parish,0,,21,35,-21,35,21,35
Georgia,Houston County,Louisiana,Orleans Parish,0,,121,164,-121,164,121,164
Georgia,Houston County,Louisiana,St. Tammany Parish,0,,20,35,-20,35,20,35
Georgia,Houston County,Maine,Androscoggin County,19,31,0,,19,31,19,31
Georgia,Houston County,Maine,Cumberland County,0,,1,2,-1,2,1,2
Georgia,Houston County,Maine,Kennebec County,0,,3,8,-3,8,3,8
Georgia,Houston County,Maine,Oxford County,0,,2,6,-2,6,2,6
Georgia,Houston County,Maryland,Baltimore County,0,,2,4,-2,4,2,4
Georgia,Houston County,Maryland,Harford County,40,42,1,5,39,42,41,43
Georgia,Houston County,Maryland,Montgomery County,0,,1,4,-1,4,1,4
Georgia,Houston County,Maryland,Baltimore City,14,26,0,,14,26,14,26
Georgia,Houston County,Massachusetts,Norfolk County,53,85,0,,53,85,53,85
